hour,time_slot,avg_congestion_km,total_lambda_final,north,south,east,west,lambda_per_hour
0,night,0.39,0.07312925170068027,0.02193877551020408,0.02193877551020408,0.014625850340136054,0.014625850340136054,263
1,night,0.04,0.05102040816326531,0.015306122448979591,0.015306122448979591,0.010204081632653062,0.010204081632653062,184
2,night,0.02,0.007936507936507938,0.002380952380952381,0.002380952380952381,0.0015873015873015877,0.0015873015873015877,29
3,night,0.01,0.0045351473922902496,0.0013605442176870747,0.0013605442176870747,0.0009070294784580499,0.0009070294784580499,16
4,night,0.01,0.01360544217687075,0.004081632653061225,0.004081632653061225,0.0027210884353741503,0.0027210884353741503,49
5,early_morning,0.1,0.06462585034013606,0.019387755102040816,0.019387755102040816,0.012925170068027212,0.012925170068027212,233
6,early_morning,0.46,0.15192743764172337,0.0319047619047619,0.059251700680272114,0.030385487528344676,0.030385487528344676,547
7,morning_peak,0.78,0.3061224489795919,0.0642857142857143,0.11938775510204085,0.06122448979591838,0.06122448979591838,1102
8,morning_peak,1.46,0.49546485260770984,0.10404761904761906,0.19323129251700683,0.09909297052154198,0.09909297052154198,1784
9,morning_peak,2.13,0.6326530612244898,0.13285714285714284,0.24673469387755104,0.12653061224489798,0.12653061224489798,2278
10,morning_peak,1.99,0.6643990929705217,0.13952380952380952,0.2591156462585034,0.13287981859410433,0.13287981859410433,2392
11,midday,1.74,0.5600907029478459,0.16802721088435377,0.16802721088435377,0.11201814058956919,0.11201814058956919,2016
12,midday,1.21,0.44217687074829926,0.13265306122448978,0.13265306122448978,0.08843537414965986,0.08843537414965986,1592
13,midday,0.95,0.33446712018140595,0.10034013605442178,0.10034013605442178,0.0668934240362812,0.0668934240362812,1204
14,afternoon,0.79,0.3106575963718821,0.09319727891156464,0.09319727891156464,0.06213151927437643,0.06213151927437643,1118
15,afternoon,1.0,0.3877551020408164,0.1163265306122449,0.1163265306122449,0.07755102040816328,0.07755102040816328,1396
16,evening_peak,1.63,0.5770975056689344,0.1731292517006803,0.1731292517006803,0.11541950113378688,0.11541950113378688,2078
17,evening_peak,2.46,0.8061224489795918,0.3143877551020408,0.16928571428571426,0.16122448979591839,0.16122448979591839,2902
18,evening_peak,3.02,1.103174603174603,0.43023809523809514,0.2316666666666666,0.22063492063492063,0.22063492063492063,3971
19,evening_peak,4.25,1.2312925170068028,0.48020408163265305,0.25857142857142856,0.24625850340136057,0.24625850340136057,4433
20,evening_peak,3.59,1.1632653061224492,0.45367346938775516,0.24428571428571427,0.23265306122448984,0.23265306122448984,4188
21,night,2.42,0.941043083900227,0.3670068027210885,0.19761904761904764,0.1882086167800454,0.1882086167800454,3388
22,night,2.29,0.6984126984126986,0.20952380952380958,0.20952380952380958,0.1396825396825397,0.1396825396825397,2514
23,night,1.45,0.6360544217687079,0.1908163265306123,0.1908163265306123,0.12721088435374156,0.12721088435374156,2290
