hour,time_slot,avg_congestion_km,total_lambda_final,north,south,east,west,lambda_per_hour
0,night,0.65,0.12244897959183673,0.03673469387755102,0.03673469387755102,0.02448979591836735,0.02448979591836735,441
1,night,0.07,0.08503401360544217,0.02551020408163265,0.02551020408163265,0.017006802721088437,0.017006802721088437,306
2,night,0.03,0.012471655328798186,0.0037414965986394557,0.0037414965986394557,0.0024943310657596376,0.0024943310657596376,45
3,night,0.01,0.0056689342403628135,0.0017006802721088437,0.0017006802721088437,0.0011337868480725626,0.0011337868480725626,20
4,night,0.01,0.020408163265306124,0.006122448979591837,0.006122448979591837,0.004081632653061225,0.004081632653061225,73
5,early_morning,0.16,0.10544217687074829,0.03163265306122449,0.03163265306122449,0.021088435374149662,0.021088435374149662,380
6,early_morning,0.76,0.25170068027210885,0.05285714285714286,0.09816326530612246,0.05034013605442177,0.05034013605442177,906
7,morning_peak,1.3,0.5102040816326531,0.10714285714285714,0.1989795918367347,0.10204081632653061,0.10204081632653061,1837
8,morning_peak,2.44,0.826530612244898,0.17357142857142857,0.32234693877551024,0.1653061224489796,0.1653061224489796,2976
9,morning_peak,3.55,1.0555555555555556,0.22166666666666665,0.4116666666666667,0.21111111111111114,0.21111111111111114,3800
10,morning_peak,3.32,1.1077097505668936,0.23261904761904761,0.4320068027210885,0.22154195011337874,0.22154195011337874,3988
11,midday,2.9,0.9342403628117917,0.2802721088435375,0.2802721088435375,0.18684807256235833,0.18684807256235833,3363
12,midday,2.02,0.7369614512471655,0.22108843537414966,0.22108843537414966,0.1473922902494331,0.1473922902494331,2653
13,midday,1.58,0.5578231292517007,0.1673469387755102,0.1673469387755102,0.11156462585034016,0.11156462585034016,2008
14,afternoon,1.32,0.5170068027210885,0.15510204081632653,0.15510204081632653,0.1034013605442177,0.1034013605442177,1861
15,afternoon,1.66,0.645124716553288,0.1935374149659864,0.1935374149659864,0.12902494331065759,0.12902494331065759,2322
16,evening_peak,2.71,0.9603174603174602,0.28809523809523807,0.28809523809523807,0.19206349206349208,0.19206349206349208,3457
17,evening_peak,4.1,1.3435374149659864,0.5239795918367347,0.28214285714285714,0.2687074829931973,0.2687074829931973,4837
18,evening_peak,5.04,1.8401360544217686,0.7176530612244898,0.3864285714285714,0.36802721088435375,0.36802721088435375,6624
19,evening_peak,7.09,2.0532879818594103,0.8007823129251701,0.4311904761904762,0.4106575963718821,0.4106575963718821,7392
20,evening_peak,5.98,1.9387755102040816,0.7561224489795918,0.4071428571428571,0.3877551020408163,0.3877551020408163,6980
21,night,4.03,1.568027210884354,0.6115306122448981,0.32928571428571435,0.3136054421768708,0.3136054421768708,5645
22,night,3.82,1.1643990929705217,0.3493197278911565,0.3493197278911565,0.23287981859410434,0.23287981859410434,4192
23,night,2.42,1.0612244897959182,0.31836734693877544,0.31836734693877544,0.21224489795918366,0.21224489795918366,3820
