Date,Day,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Daily_Total
2025-10-01,Wednesday,2.8,0,0,0,0.3,0.8,8.4,9.7,7.7,4.2,1.9,1.5,1.9,3.2,3.8,1.6,1.9,1.0,2.1,2.8,3.5,3.0,4.6,4.5,70.96
2025-10-02,Thursday,0.7,0,0,0,0,0,2.4,2.3,0.3,0,0,0,0,0.3,0,0,0.6,0,0,2.4,3.6,3.8,3.8,2.4,22.69
2025-10-03,Friday,0,0,0,0,0,0.3,0.4,0,0,0,0.5,0.3,0.8,0.8,1.4,0,3.4,4.4,5.1,2.1,2.1,1.3,2.2,0,27.17
2025-10-04,Saturday,0,0,0,0,0,0.3,0.4,0,0,0,0.5,0.3,0.8,0.8,1.4,0,3.4,4.4,5.1,2.1,2.1,1.3,2.2,0,27.56
2025-10-05,Sunday,1.3,0.9,0.6,0,0,0,0,0.5,0,0,0,0,0.3,0,0.3,0.6,0,1.6,1.5,3.6,2.8,3.4,5.2,2.5,25.60
2025-10-06,Monday,0.8,0,0,0,0,0.3,2.6,3.6,6.1,6.0,5.7,5.4,4.3,1.3,0,2.1,3.9,7.8,8.9,10.2,8.9,6.4,4.5,0.8,89.73
2025-10-07,Tuesday,0,0,0,0,0,0,0.3,0,3.2,4.3,3.5,4.3,2.8,1.8,1.0,1.7,0,2.5,4.0,5.7,10.8,5.3,2.0,1.0,56.00
2025-10-08,Wednesday,0.3,0,0,0,0,0,0,0.5,4.8,6.4,5.4,5.0,2.7,1.6,2.7,2.4,5.3,5.3,5.9,9.0,8.6,5.3,4.1,2.8,72.56
2025-10-09,Thursday,0,0,0,0,0,0,0.4,0.3,3.7,5.0,3.9,5.9,3.1,1.9,1.3,1.7,3.2,5.4,7.4,18.5,23.1,10.4,5.7,2.4,103.29
2025-10-10,Friday,0.8,0,0,0,0,0,0.7,0,2.9,3.7,4.3,2.9,0,2.1,0.3,1.1,0,2.4,5.5,7.9,7.6,3.3,6.0,2.7,61.85
